area_name,northeast_lat,northeast_lng,southwest_lat,southwest_lng
Avoca Beach - Copacabana,-33.4591273,151.4440241,-33.4933219,151.4225143
Box Head - MacMasters Beach,-33.4814458,151.3597758,-33.5819953,151.3934751
Calga - Kulnura,-33.1104005,151.2496735,-33.4496069,151.2008984
Erina - Green Point,-33.425914,151.4119758,-33.4699166,151.3592538
Gosford - Springfield,-27.6368619,151.3517875,-33.439373,152.893748
Kariong,-33.4204363,151.3108838,-33.4907434,151.2353343
Kincumber - Picketts Valley,-33.4458881,151.4198308,-33.487987,151.3977354
Narara,-33.3795798,151.3575901,-33.4115081,151.3160846
Niagara Park - Lisarow,-33.3690841,151.4138247,-33.4007567,151.3560235
Point Clare - Koolewong,-33.4284331,151.3335238,-33.4803365,151.3085274
Saratoga - Davistown,-33.4683305,151.3698106,-33.4921413,151.3491026
Terrigal - North Avoca,-33.4483044,151.4461362,-33.4638745,151.4261137
Umina - Booker Bay - Patonga,-33.5018418,151.3109141,-33.5797726,151.3421165
Wamberal - Forresters Beach,-33.383021,151.460007,-33.4436344,151.4538069
Woy Woy - Blackwall,-33.47309389999999,151.3410192,-33.5335826,151.3243999
Wyoming,-33.39189,151.3821385,-33.4187697,151.3428509
Bateau Bay - Killarney Vale,-33.3544359,151.4740828,-33.4009366,151.4537377
Blue Haven - San Remo,-33.204877,145.4534336,-38.5487085,151.4902202
Budgewoi - Buff Point - Halekulani,-33.2160578,151.5465385,-33.2594806,151.541201
Chittaway Bay - Tumbi Umbi,-33.3228777,151.4628926,-33.4024858,151.4278447
Gorokan - Kanwal - Charmhaven,-33.2438539,151.4971273,-33.2729307,151.4923343
Jilliby - Yarramalong,-33.1618311,151.300915,-33.2704123,151.2838572
Lake Munmorah - Mannering Park,-33.1429066,151.5547762,-33.208483,151.5548473
Ourimbah - Fountaindale,-33.2502616,151.4117658,-33.3801045,151.3819552
Summerland Point - Gwandalan,-33.1293191,151.5756938,-33.1516892,151.5723661
The Entrance,-33.3365428,151.5050851,-33.3512006,151.4876265
